User id,Name,Final grade
247552,Stephanie,0.494956666
321177,Jennifer,0.15469819
1074033,Breanna,0.151819898
405206,Evelyn,0.139530271
737989,Edwin,0.133781907
894555,Abby,0.132531564
907107,Louisa,0.125643992
845951,Nikki,0.120830294
329432,Deb,0.098309382
577856,Erika,0.093786913
752182,Jeff,0.092107314
929043,Mike,0.085730127
520395,Darylynn,0.083163756
1197195,Annie,0.083056884
15054,Jocelyn,0.08216112
638024,Shahanaz,0.080054177
388125,Thuong,0.076673406
310313,Rachel,0.076033409
962038,Jamie,0.069715023
707442,Anthony,0.067596192
594786,Amber,0.066498291
842415,Bilal,0.065622129
138812,Kimberly,0.063795639
868,Danielle,0.061171418
491840,Ray,0.059766106
1078747,Eric,0.058895752
581974,Monique,0.058886617
327144,Tamara,0.05767218
148290,Jason,0.057512185
465099,Mia,0.056470759
498026,Alyssa J,0.056180831
912320,Diane,0.055790176
914926,Jason,0.055337531
1153594,Cathryn,0.055153317
434542,Cecille,0.05452946
1063054,Jason,0.054265475
29711,Tamara,0.054227213
1106952,Matthew,0.053665361
955569,Jen,0.05283256
696356,Sherri,0.052361637
918738,Stella,0.05185808
632578,Charissa,0.051804879
155254,Sandra,0.049312156
59739,Tony,0.047498896
95759,Roy,0.044657928
445356,Jannies,0.044410189
486567,Katherine,0.044148813
1190053,Thomas,0.043707415
398728,Cathy,0.043583546
1241677,Kimberley,0.042707989
442761,Rainie,0.041525923
281915,Joyce,0.04090699
1211974,Mike,0.040874166
266595,Brianna,0.039767708
950006,Donovan,0.039617454
935690,Michelle,0.038908463
885694,Ashley,0.038195895
499017,Sarah,0.037241651
30696,Crystal,0.03717284
179052,Merichelle,0.036236494
622721,Diane,0.036069542
1152549,Colleen,0.035697163
431318,Agnes,0.035446476
70254,Aurora,0.034923599
1028774,Roxy,0.03475244
827133,Kristin,0.034600845
1110162,Cin,0.034448137
1298535,Sue A.,0.034388723
900010,Nancy,0.034155373
238060,Laura,0.034048335
502254,Jon,0.034020122
786322,Aimee,0.033812969
849866,Sanaz,0.033780622
597318,Alix,0.033491291
658518,Chris,0.033246465
581057,Andy,0.032723445
651364,Anthony,0.032712784
1020082,Dan,0.032320664
184969,Michelle,0.032048559
1106899,Emily,0.031932854
12215,Mihali,0.031468754
692515,Brad,0.031430751
16375,A'Lia,0.031408283
757266,Stephanie,0.030976746
568054,Issan,0.030962594
168098,Angela,0.030639476
429653,Sam,0.03062267
1124105,Corrina,0.030591452
435885,Denny,0.030588481
469828,Erin,0.030327233
276061,Tammy,0.030190566
1121556,Konstantina,0.030108223
360811,Chrissy,0.029955919
60781,Paula,0.029799452
388211,Ryan,0.029524892
242872,Ed,0.029494102
280759,Annie,0.029452765
1021201,Lea,0.029436099
733196,Loren,0.029351557
89959,Nick,0.029312317
778145,Julie,0.029235071
3737,Dipika,0.029162177
755440,Jessica,0.029135297
1238843,Andrew,0.029104918
729735,Irene,0.029036738
297592,Beth,0.02900503
1034836,Juddi,0.028969715
891305,David,0.028828869
338929,Kelly,0.028778538
962789,Mike,0.028587939
801656,Jennica,0.028579031
523317,jessy,0.028557921
692773,Rebecca,0.02852525
1066704,Debra,0.028484128
708397,Larraine,0.028444523
1157032,Paige,0.028343202
284681,Brian,0.028328555
1050686,Rodney,0.028285524
140490,Helen,0.028253265
102711,Lisa,0.028225703
1174964,Sam,0.028169508
364579,April-Anne,0.028092919
478413,Traci,0.028041706
1080731,Karissa,0.028029012
856588,Jennifer,0.028006524
255732,Sanjay,0.027949099
1097766,Daisy,0.027768512
716611,Wren,0.027710912
711911,Alicia,0.027641594
726012,SharMel,0.027605223
47289,Christopher,0.027502259
1137854,Amy,0.027427166
1020347,Anthony,0.027400086
1127206,Jim,0.027395326
698443,CheRich,0.027378673
845794,Anna,0.027340257
235876,Tam,0.027303277
1126556,Emilie,0.027260201
358308,Meredith,0.027220543
601389,Sean,0.027203184
255484,Debbie,0.027108027
672864,David,0.027085503
975156,John,0.027063912
557725,Alana,0.027023589
717924,Joe,0.026995113
994736,David,0.026981213
64780,Margaret Grace,0.026968242
609384,Stephanie,0.02684352
367938,Tasha,0.026834093
489566,Christina,0.026568459
1268603,Margo,0.026565291
206996,Erica,0.026544172
1165172,Chad,0.02649425
1265139,Steve,0.02647458
1165100,Mary,0.026420713
1047220,kelly,0.026355872
443162,Harshad,0.026347143
454918,Ra,0.026274316
141764,Kristy,0.026237179
267893,Jason,0.026233112
1228630,Marisa,0.026184523
551588,Leah,0.026055986
1224245,Kay,0.026025505
114942,Greg,0.02597017
1230895,Krina,0.025910605
568434,Dave,0.025798008
387596,Ron,0.025720474
360088,Bill,0.022197673
1063111,Julia,0.019693322
696722,Amber,0.016154693
608676,Morgan,0.01490318
1170383,Tricia,0.014300903
1033569,Imran,0.012364872
472112,Stan,0.011556577
1029394,Carrie,0.011323203
1139319,Barbara,0.009838
281472,Beth,0.009534287
505479,Shirley,0.009086323
33912,Danica,0.008328772
1173306,Yasmin,0.007592768
1109913,Jennifer,0.00735927
857097,Meleah,0.007327571
140469,Jhunelyn,0.007283298
1297291,Joshua,0.006033086
184604,James,0.005674392
495445,Niki,0.005579243
757478,Feifei,0.005453902
471519,Hassan,0.00529544
254749,Dawn Dolly,0.005200195
407203,Jimmy,0.005106762
88775,Zarene,0.004774837
12658,Cynthia,0.004568248
840307,Rucha,0.003734029
543395,Georgia,0.00370589
402019,Kin,0.003461998
1125493,Michelle,0.003223395
457508,Amy,0.003080173
710644,Halle,0.003027806
376077,Ted,0.003017443
12121,Harmoni,0.002855065
764505,Yingcan,0.002840848
1139222,Dianalynn,0.002660818
4442,Charlie,0.002433792
240407,Angelo,0.002421133
1300094,Amanda,0.002394465
365340,Herman,0.002349572
863332,Kei,0.002245998
377546,Lorraine,0.002221583
799252,Linda,0.002113753
712314,LaTrenda,0.002105694
